Hyb-10,Hyb-12,Hyb-16,Hyb-17,Hyb-22,Hyb-23,Hyb-24,Hyb-25,Hyb-30,Hyb-32,Hyb-34,Hyb-37,Hyb-39,Hyb-44,Hyb-58,Hyb-6
2687.819127,3570.569366,2599.772727,2857.200062,2421.883678,1979.794717,3231.867839,2853.510814,2209.154421,3705.410864,1532.915762,3014.305136,2344.6875,3149.159955,3474.21476,2655.304712
2756.23784,3850.262566,3572.182108,3064.699391,3613.650152,3144.548287,3583.947028,3818.759377,3067.414145,3786.809202,3003.048397,3021.070909,3839.688398,3978.18314,3587.599592,3179.384289
2840.122473,3883.950213,3766.036248,3677.950199,3741.449479,3597.574372,3780.709175,3834.907601,3186.941163,3908.860774,3544.140297,3082.286872,3973.485312,4107.217204,4133.71436,3811.875
3071.581182,3936.950031,3879.6875,3744.221935,3792.887024,3768.646726,3856.702799,3859.87392,3697.393777,3940.024362,3844.568126,3638.100775,3975.039997,4339.687262,4188.986151,3992.953436
3089.963632,4138.296659,4012.702966,4022.302652,3816.280366,4021.50167,3921.20155,3880.148409,3790.651564,4058.540465,4026.454656,3674.567676,4179.128988,4352.875439,4206.855416,4095.348837
3386.417463,4444.480083,4172.865493,4045.590839,4184.818565,4037.120145,4004.931836,4148.222874,3882.364341,4219.975524,4251.105369,3724.488817,4182.270037,4397.961425,4329.332477,4214.906831
3401.145939,4470.561731,4231.511254,4075.286822,4291.462591,4110.804862,4032.85075,4318.757938,3940.790314,4424.867222,4313.068036,3766.818288,4193.162548,4551.673514,4459.996309,4242.378818
3581.48104,4719.458622,4324.669312,4136.749031,4394.302605,4497.713784,4172.939161,4402.664729,4517.067704,4475.482558,4320.174419,3863.283411,4364.659174,4567.500319,4589.35743,4322.182273
3712.345451,4728.728799,4381.463044,4419.418605,4439.166667,4822.906977,4304.829912,4434.499053,4539.773042,4516.31137,4476.222282,3900.14174,4451.230466,4785.596648,4677.985729,4432.892537
3718.758145,4748.947951,4484.976934,4502.635116,4544.875838,4963.593258,4449.612403,4516.494587,4546.080678,4581.102734,4518.513589,4275.420083,4454.373941,5145,4688.333333,4454.538114
